Trade Date,Order Type,Security,Quantity,Executed Price
04/28/2023,Sell,QQQ,1.0,321.6511
04/28/2023,Buy,FNSFX,71.537,11.94
05/02/2023,Buy,BRK-B,2.0,324.09
05/02/2023,Buy,PTLC,6.0,37.9699
05/02/2023,Buy,DIA,1.0,335.1565
05/02/2023,Buy,SCI,5.0,67.925
05/02/2023,Buy,SCHD,4.0,70.765
05/02/2023,Buy,SCHD,2.0,70.6497
05/02/2023,Buy,SCI,1.0,67.0131
05/02/2023,Buy,SCI,1.0,67.0118
05/05/2023,Sell,QQQ,3.0,321.1001
05/05/2023,Sell,SPY,1.0,410.645
05/05/2023,Sell,VOO,1.0,377.37
05/08/2023,Buy,SCHD,3.0,70.695
05/08/2023,Sell,VTSAX,3.008,99.73
05/09/2023,Buy,PTLC,2.0,38.217
05/09/2023,Buy,SCHD,2.0,70.345
05/10/2023,Sell,QQQ,2.0,325.455
05/10/2023,Buy,BRK-B,1.0,325.84
05/10/2023,Buy,BRK-B,1.0,321.3038
05/10/2023,Buy,DIA,1.0,333.33
05/10/2023,Buy,SCHD,3.0,69.725
05/10/2023,Buy,PTLC,3.0,38.1044
05/10/2023,Buy,BRK-B,1.0,321.3294
05/11/2023,Buy,SCI,4.0,65.565
05/11/2023,Buy,SCHD,4.0,69.615
05/11/2023,Buy,PTLC,3.0,38.185
05/12/2023,Sell,QQQ,1.0,326.73
05/12/2023,Buy,WM,1.0,168.9385
05/12/2023,Buy,SCI,2.0,65.5783
05/12/2023,Buy,FNSFX,37.522,11.74
05/12/2023,Buy,FNSFX,72.756,11.74
05/15/2023,Buy,SCI,1.0,65.58
05/15/2023,Sell,QQQ,1.0,326.455
05/15/2023,Buy,SCI,2.0,65.6948
05/16/2023,Buy,SCHD,2.0,69.545
05/16/2023,Sell,QQQ,1.0,328.775
05/16/2023,Buy,DIA,1.0,331.72
05/17/2023,Sell,QQQ,2.0,330.655
05/17/2023,Sell,SPY,1.0,414.99
05/17/2023,Sell,VOO,2.0,381.29
05/17/2023,Buy,WM,1.0,166.965
05/17/2023,Buy,WM,1.0,166.305
05/18/2023,Buy,WM,2.0,164.0124
05/18/2023,Buy,DIA,1.0,333.33
05/18/2023,Buy,SCI,1.0,65.1535
05/18/2023,Buy,SCHD,2.0,69.935
05/18/2023,Buy,WM,1.0,163.9738
05/18/2023,Sell,QQQ,2.0,335.165
05/18/2023,Buy,WM,1.0,163.975
05/18/2023,Buy,SCI,1.0,65.11
05/18/2023,Sell,VOO,1.0,383.26
05/18/2023,Sell,SPY,1.0,416.905
05/18/2023,Sell,VTSAX,4.453,101.32
05/18/2023,Sell,VTSAX,3.0,101.32
05/19/2023,Buy,PTLC,3.0,38.8677
05/19/2023,Buy,DIA,1.0,334.06
05/19/2023,Sell,SPY,1.0,420.2
05/19/2023,Sell,VOO,1.0,385.98
05/19/2023,Sell,QQQ,1.0,337.54
05/19/2023,Sell,VTSAX,3.0,101.1
05/22/2023,Buy,WM,1.0,164.1
05/22/2023,Buy,SCI,1.0,64.975
05/22/2023,Buy,DIA,1.0,333.16
05/22/2023,Buy,BRK-B,1.0,329.9
