date,value_usd,value_cny,value_jpy,value_krw
2021-06-02,37584.2311708355,239813.7038317501,4115210.0732513666,41613635.128875755
2021-06-03,37928.5375945978,241987.8627072935,4156778.115608485,42096125.49513491
2021-06-04,38399.9110177069,245863.1102730718,4234204.549878554,42832794.479996204
2021-06-07,38500.6511300116,246184.7135206329,4220325.759416523,42723404.62498638
2021-06-08,38616.8656519394,247005.0577694999,4219819.454483756,42838459.31969866
2021-06-09,38774.5473616905,248137.7158411385,4244611.002685995,43306904.784416735
2021-06-10,39281.1057642441,250868.7819633448,4305602.0420999,43853820.62181733
2021-06-11,39799.7159737606,254411.7244190699,4354447.005574026,44227832.770998366
2021-06-14,39841.5761422176,254894.4516850658,4370979.476986554,44445272.21768811
2021-06-15,39666.1746661854,253752.4525745211,4364905.526441705,44280141.961382635
2021-06-16,39812.5114223843,254999.1356603712,4382720.507421749,44431958.277286336
2021-06-17,39792.6301238747,254541.5171133891,4407829.519443707,45043265.718881056
2021-06-18,39194.2838608818,252701.2257646494,4324109.249368933,44428290.05624102
2021-06-21,39737.7498556814,256391.935843842,4379139.612894949,45072542.77380665
2021-06-22,39545.9106653576,255699.9037711356,4364840.383324089,44700323.316919334
2021-06-23,39572.8903645554,256444.2014294281,4378898.570826618,44816694.46249149
2021-06-24,39687.0539327021,256894.3001063805,4405739.270864176,44949953.55941188
2021-06-25,40431.0583968449,261629.3788859831,4484653.347574312,45719442.81627403
2021-06-28,40412.20366436,260509.1884815641,4478561.194079505,45477467.89763601
2021-06-29,40439.9602489805,261043.9874031942,4472780.802098112,45658334.29666742
2021-06-30,40342.2896786261,260736.2524219281,4459235.15099609,45607362.30800644
2021-07-01,40438.4240012741,261078.5530370259,4493679.469156008,45679242.781317055
2021-07-02,40617.0467043352,262694.8112649584,4531725.0942790415,45995151.23943582
2021-07-05,40617.0467043352,262877.5879751279,4513975.566720387,45887921.667497724
2021-07-06,44049.645934741,284684.0517470444,4885810.528497738,49751429.505604826
2021-07-07,47692.6699888553,308957.8854548037,5274904.543029367,54154071.96509205
2021-07-08,47174.4552264193,305289.4869977727,5219145.948323813,53803410.61832487
2021-07-09,48976.0583839542,317810.5404593169,5377620.333544726,56140277.624664664
2021-07-12,48732.5947483398,315689.748779745,5371062.735257888,55765198.37169576
2021-07-13,48572.0188905555,314484.3935087906,5358707.838384478,55425529.59028442
2021-07-14,48514.4762106083,313767.3748921091,5365458.5450267,55728576.445916414
2021-07-15,48348.8775770712,312735.0448317698,5317602.99978548,55282591.754260845
2021-07-16,47873.1750709557,309265.4982758806,5255421.412939371,54581164.1225321
2021-07-19,47348.023380669,306729.9650646501,5202316.768275652,54047768.68903369
2021-07-20,47830.6155136727,310391.9963144277,5239078.49618278,55008553.40095633
2021-07-21,48302.9834822552,313191.7146005943,5309463.847763522,55426706.5201585
2021-07-22,48624.5667324326,314455.0730586413,5361101.459210651,55854550.69102852
2021-07-23,49905.8209433103,322875.6897569349,5496627.068790381,57387204.25771991
2021-07-26,49720.2645538805,322207.202414967,5496276.875123898,57233990.68466156
2021-07-27,49362.4649878877,319952.6893119918,5444778.711818921,56853713.168074206
2021-07-28,49647.2008099685,323188.3831126518,5451560.532139399,57271027.89553209
2021-07-29,50036.5599829889,324707.2523536084,5498567.563054076,57512524.11129035
2021-07-30,54530.7108935768,352012.0980313064,5966150.384563212,62280615.25311839
2021-08-02,54434.6089644378,351674.7912147506,5971803.265487226,62650427.434909314
2021-08-03,55158.6160871947,356379.818539365,6027126.65575583,63408141.96355389
2021-08-04,55181.8267018953,356982.2732999008,6014322.3085207855,63380740.08526248
2021-08-05,56137.6312851444,362941.0137847157,6148698.560892953,64224821.760202564
2021-08-06,56683.5670882958,366192.8484605172,6221134.798391071,64796118.92655483
2021-08-09,56598.2369526049,366898.0710452615,6240465.177951979,64800455.94209887
2021-08-10,56428.1607190092,365947.9078949182,6224364.696271025,64660465.93272782
2021-08-11,56844.0124572502,368627.7363840219,6286834.089746959,65511586.33985147
2021-08-12,56801.9819001433,367974.5991455085,6269462.007048401,65484163.47033265
2021-08-13,56153.9500750371,363782.1347711127,6199564.550134319,65254262.537280634
2021-08-16,64149.4927438087,415457.7748060024,7032324.056696774,74501938.20355198
2021-08-17,64262.6957520107,416010.9872202164,7023719.664819425,74833909.20321645
2021-08-18,63838.3472673473,413998.0658634739,6992661.236138462,75102620.51459171
2021-08-19,63944.5183044653,414565.1010715091,7023793.971432627,74794627.6233709
2021-08-20,69250.941742204,449694.8403913499,7601537.234656362,81396865.45313326
2021-08-23,69759.2767566814,452849.3209936728,7662358.679916775,81914132.44117276
2021-08-24,70952.155906971,459769.9702771725,7781890.626516926,82844445.69425613
2021-08-25,76037.4524466438,491954.7135845409,8343589.885082586,88467292.59301057
2021-08-26,76262.5905349654,493792.6474548472,8387054.504148169,88718556.09148727
2021-08-27,77202.8062066235,500312.7856220233,8496014.18581808,90327283.26174945
2021-08-30,77653.62118216,502481.0519455211,8531414.935870769,90181476.47071856
2021-08-31,77475.6111308751,500887.5735222205,8517978.59017293,90298600.30390234
2021-09-01,77872.9226637005,503027.93123844,8570382.376676228,90208774.99053673
2021-09-02,79132.8871960265,511119.3183991354,8712214.427866625,91420644.21467929
2021-09-03,80588.3923220755,520230.3077959262,8860290.793850591,93251246.8105852
2021-09-06,80588.3923220755,519948.248422799,8845704.294840297,93059446.03391668
2021-09-07,80516.3337548813,519869.812155142,8842303.772961061,93039847.44725254
2021-09-08,80552.6020784207,520812.8487380291,8884629.637736287,93521571.01304644
2021-09-09,80453.9032262518,519788.5325738452,8867468.466698831,93848672.76985146
2021-09-10,79575.650716333,513605.1224184281,8735894.35213845,93034280.91986465
2021-09-13,80168.7492840823,516559.3191370561,8811748.15772866,93747732.43866393
2021-09-14,79927.7117222079,515597.682777619,8791568.962955676,93604141.27607927
2021-09-15,80784.6280697839,520115.6709016899,8863608.76875788,94582646.50254981
2021-09-16,81249.4205645639,522547.5234189363,8887305.613361955,94673447.47400795
2021-09-17,81079.0406045416,523494.9335672834,8894289.43204049,95220850.43426354
2021-09-20,79700.5521302118,515280.0096322453,8764749.498012073,94135117.93100618
2021-09-21,80150.6538527002,518173.9771577067,8771446.785075335,95084319.3504
2021-09-22,80555.5535407516,520872.2091945001,8792558.274530608,95290778.93887028
2021-09-23,81836.2636975098,528727.7324968711,8987422.069951655,96651084.8879216
2021-09-24,81910.7969694946,528971.7357492994,9036890.258813277,96220609.18643628
2021-09-27,86085.2814294357,556601.6041383025,9535150.112250019,101511759.6434118
2021-09-28,87197.5613280067,562947.4559336115,9675789.933608256,102628038.3799059
2021-09-29,87141.8044527592,562848.9149603714,9718751.167007325,103427737.59406237
2021-09-30,86565.1379430183,560041.8164361515,9689755.021094287,102790046.42219572
2021-10-01,88660.2000440014,571459.319383611,9882154.46844424,104948849.42493951
2021-10-04,87605.6614140419,564679.81177649,9719585.229298044,103374680.46856944
2021-10-05,88899.5614614162,572975.4535311199,9865006.71404956,105237525.44488259
2021-10-06,88992.6332810772,573575.3200231987,9921521.706607454,105649388.36797228
2021-10-07,90418.4830566589,582765.206996778,10073794.633628508,107722772.79613473
2021-10-08,90879.5412489288,585736.819257596,10147791.607576512,108251167.73977056
2021-10-11,91067.2360582123,586682.454857821,10224118.319053784,108878162.07951903
2021-10-12,90764.0787614216,585392.0023796647,10291557.362600071,108535689.83034776
2021-10-13,91856.5619351234,592291.111357676,10427464.778743591,109942201.79237832
